Year,County,GDP,Population,Violent,Property,Human Trafficking,Index Crime Total
2021,Franklin,915353.0,23503.0,43,226,0,269
2021,Fulton,174408744.0,1062531.0,6582,26308,13,32903
2021,Gilmer,855505.0,32090.0,60,307,0,367
2021,Glascock,29719.0,2906.0,10,30,0,40
2021,Glynn,3604937.0,84705.0,285,1379,12,1676
2021,Gordon,2226169.0,58253.0,136,714,4,854
2021,Grady,583561.0,25879.0,67,388,0,455
2021,Greene,745340.0,19553.0,29,255,0,284
2021,Gwinnett,47636908.0,965145.0,430,2807,11,3248
2021,Habersham,1316778.0,46740.0,39,334,3,376
2021,Hall,10987617.0,207393.0,490,2616,0,3106
2021,Hancock,142162.0,8664.0,13,67,0,80
2021,Haralson,832200.0,30579.0,86,536,0,622
2021,Harris,495274.0,35605.0,11,152,0,163
2021,Hart,801472.0,26340.0,86,452,0,538
2021,Heard,1102381.0,11529.0,21,137,0,158
2021,Henry,6702371.0,245023.0,611,3724,0,4335
2021,Houston,6517036.0,167156.0,560,3712,0,4272
2021,Irwin,188995.0,9375.0,40,161,0,201
2021,Jackson,3549219.0,80317.0,93,760,0,853
2021,Jasper,269252.0,15259.0,55,171,0,226
2021,Jeff Davis,362783.0,14848.0,45,165,0,210
2021,Jefferson,527556.0,15494.0,47,177,0,224
2021,Jenkins,144459.0,8776.0,21,124,0,145
2021,Johnson,109155.0,9034.0,0,0,0,0
2021,Jones,407558.0,28409.0,61,223,0,284
2021,Lamar,409886.0,18684.0,15,101,0,116
2021,Lanier,107641.0,10052.0,20,197,0,217
2021,Laurens,1648226.0,49527.0,85,463,0,548
2021,Lee,664314.0,33194.0,53,486,0,539
2021,Liberty,3446542.0,66844.0,14,55,0,69
2021,Lincoln,116079.0,7750.0,0,0,0,0
2021,Long,161036.0,17089.0,9,72,0,81
2021,Lowndes,4608501.0,118914.0,351,2146,2,2499
2021,Lumpkin,825137.0,32890.0,50,259,2,311
2021,Macon,379708.0,21636.0,14,43,0,57
2021,Madison,520266.0,11051.0,91,275,0,366
2021,Marion,98223.0,11832.0,11,43,0,54
2021,McDuffie,639123.0,30883.0,47,176,1,224
2021,McIntosh,216565.0,7426.0,35,197,0,232
2021,Meriwether,556314.0,20715.0,45,214,0,259
2021,Miller,190666.0,5886.0,0,0,0,0
2021,Mitchell,667935.0,21266.0,68,375,0,443
2021,Monroe,1258275.0,28729.0,4,46,0,50
2021,Montgomery,120290.0,8654.0,1,6,0,7
2021,Morgan,902142.0,20654.0,14,99,0,113
2021,Murray,1256594.0,40032.0,84,256,0,340
2021,Muscogee,9674011.0,205024.0,319,1682,3,2004
2021,Newton,2682411.0,115318.0,458,1528,1,1987
2021,Oconee,1552005.0,43025.0,43,518,0,561
2021,Oglethorpe,308455.0,15142.0,33,154,0,187
2021,Paulding,3083159.0,173921.0,473,1801,17,2291
2021,Peach,860070.0,28245.0,101,529,0,630
2021,Pickens,951082.0,33990.0,63,273,1,337
2021,Pierce,381869.0,19975.0,54,356,0,410
2021,Pike,343556.0,19534.0,15,104,0,119
2021,Polk,1149302.0,43332.0,123,716,1,840
2021,Pulaski,270415.0,9582.0,40,169,0,209
2021,Putnam,529927.0,22643.0,52,245,1,298
2021,Quitman,32260.0,2236.0,0,0,0,0
2021,Rabun,534464.0,17088.0,21,207,0,228
2021,Randolph,154061.0,6253.0,0,0,0,0
2021,Richmond,11127651.0,205358.0,17,189,0,206
2021,Rockdale,3863974.0,93961.0,62,17,0,79
2021,Schley,102171.0,4476.0,4,41,0,45
2021,Screven,289919.0,14055.0,9,44,0,53
2021,Seminole,267365.0,9142.0,23,86,0,109
2021,Spalding,1970684.0,67699.0,452,1587,2,2041
2021,Stephens,911535.0,26765.0,19,337,0,356
2021,Stewart,120019.0,4914.0,0,0,0,0
2021,Sumter,928777.0,28978.0,205,740,0,945
2021,Talbot,122437.0,5746.0,1,5,0,6
2021,Taliaferro,27038.0,1560.0,2,4,0,6
2021,Tattnall,546290.0,24132.0,26,193,0,219
2021,Taylor,188755.0,7754.0,5,16,0,21
2021,Telfair,253886.0,12330.0,11,44,0,55
2021,Terrell,192441.0,8904.0,25,58,0,83
2021,Thomas,2017441.0,45815.0,161,1077,0,1238
2021,Tift,1736642.0,41123.0,142,583,1,726
2021,Toombs,890694.0,26873.0,91,473,0,564
2021,Towns,339975.0,12867.0,11,56,0,67
2021,Treutlen,86342.0,6382.0,12,42,0,54
2021,Troup,3370484.0,69479.0,263,1752,1,2016
2021,Turner,179309.0,8931.0,10,48,0,58
2021,Twiggs,264486.0,7899.0,15,83,0,98
2021,Union,754907.0,25560.0,11,182,0,193
2021,Upson,638939.0,27673.0,0,3,0,3
2021,Walker,1459109.0,68405.0,148,906,10,1064
2021,Walton,2588991.0,99808.0,144,839,0,983
2021,Ware,1196985.0,35547.0,150,718,0,868
2021,Warren,148775.0,5214.0,0,0,0,0
2021,Washington,541183.0,19766.0,49,167,0,216
2021,Wayne,982127.0,30246.0,0,0,0,0
2021,Webster,50313.0,2356.0,0,0,0,0
2021,Wheeler,99456.0,7748.0,6,44,0,50
2021,White,845818.0,28393.0,41,305,0,346
2021,Whitfield,5432339.0,102688.0,428,1581,0,2009
2021,Wilcox,128782.0,8746.0,7,44,0,51
2021,Wilkes,287370.0,9516.0,84,155,0,239
2021,Wilkinson,583539.0,8791.0,14,45,0,59
2021,Worth,299768.0,20557.0,81,258,0,339
